Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Sipatetein,Pembuatan Batu Bata,71,235,10,2008,?pm=QQdTvvILO0JUDRCkFKvOsg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Keripik Belut Sopo Nyono,Pembuatan Keripik Belut,32.320.000,"265,2",3,2011,?pm=T31YLZU1Z7hHhWtmSbyDqQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
" Tempe "" Yoyok """,Pembuatan Tempe,21.175.000,144,3,2011,?pm=QOrlDm9tCPV/BWoTtFaqkg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Ngudi Rejeki,Pabrik Tahu,60.100.000,270,7,2011,?pm=zlSBRDBLJtVwnI+aStRuxg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Padi Unggul,Rice Mill,167.000.000,270,4,2011,?pm=SzXzsNPYKcnOd486kGB1jQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Kranjang Plastik Suyadi,Pembuatan Anyaman Plastik (bandit),5.430.000,"43,2",1,2011,?pm=YD/mHGgt7pDZtaRfZJ/nEg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Usaha Cumi-cumi Bu Isna,Pengolahan Pangsit Cumi-cumi,14.530.000,"60,84",0,2011,?pm=3rlzkXScsFTDvviX126VKA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Usaha Tembakau Mujiman,Tembakau Rajang,16.300.000,261,2,2011,?pm=vAMzjLFe2u4cpTZlfhONrQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Pertenunan Sutera Cora Laba,Pembuatan Kain Sutera,155,"318,5",2,2008,?pm=RuwuIKDmaCmuVsepRJN4eA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Pembuat Bosara Daeng Ngintang,Pembuatan Bosara,"64,64","490,5",8,2008,?pm=0Xv6vhpWKN2FNz3X47odig==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Usaha Kelompok Batu Merah Dirgah,Pembuatan Batu Bata,"154,3",580,8,2008,?pm=+WLbuBXMKo1y7xrAYZ3Jxw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
